DÍA 	     (X) 	       (Y) 	      (Z) 	      (VX) 	       (VY) 	      (VZ) 
59.130016 	 -0.995535 	 -0.166059 	 -0.068203 	 0.955458 	 -5.729860 	 -2.469899 
60.115517 	 -0.992955 	 -0.181529 	 -0.074872 	 1.057968 	 -5.712761 	 -2.462876 
61.101017 	 -0.990099 	 -0.196954 	 -0.081522 	 1.160033 	 -5.694101 	 -2.455180 
62.086517 	 -0.986967 	 -0.212328 	 -0.088151 	 1.261623 	 -5.673893 	 -2.446816 
63.072018 	 -0.983560 	 -0.227648 	 -0.094757 	 1.362712 	 -5.652145 	 -2.437787 
64.057518 	 -0.979881 	 -0.242908 	 -0.101339 	 1.463269 	 -5.628871 	 -2.428099 
65.043022 	 -0.975930 	 -0.258106 	 -0.107895 	 1.563268 	 -5.604082 	 -2.417757 
66.028519 	 -0.971709 	 -0.273237 	 -0.114423 	 1.662682 	 -5.577790 	 -2.406766 
67.014023 	 -0.967220 	 -0.288297 	 -0.120921 	 1.761483 	 -5.550008 	 -2.395132 
67.999519 	 -0.962464 	 -0.303282 	 -0.127388 	 1.859644 	 -5.520749 	 -2.382860 
68.985023 	 -0.957443 	 -0.318188 	 -0.133822 	 1.957140 	 -5.490027 	 -2.369956 
69.970520 	 -0.952159 	 -0.333011 	 -0.140221 	 2.053944 	 -5.457856 	 -2.356426 
70.956024 	 -0.946613 	 -0.347748 	 -0.146583 	 2.150031 	 -5.424250 	 -2.342275 
71.941521 	 -0.940808 	 -0.362393 	 -0.152907 	 2.245375 	 -5.389224 	 -2.327511 
72.927025 	 -0.934745 	 -0.376944 	 -0.159191 	 2.339952 	 -5.352794 	 -2.312140 
73.912521 	 -0.928428 	 -0.391397 	 -0.165434 	 2.433736 	 -5.314975 	 -2.296168 
74.898026 	 -0.921857 	 -0.405747 	 -0.171634 	 2.526705 	 -5.275782 	 -2.279602 
75.883522 	 -0.915034 	 -0.419992 	 -0.177789 	 2.618834 	 -5.235232 	 -2.262449 
76.869026 	 -0.907964 	 -0.434127 	 -0.183897 	 2.710099 	 -5.193342 	 -2.244717 
77.854523 	 -0.900646 	 -0.448149 	 -0.189958 	 2.800479 	 -5.150129 	 -2.226411 
78.840027 	 -0.893085 	 -0.462054 	 -0.195969 	 2.889951 	 -5.105609 	 -2.207540 
79.825523 	 -0.885282 	 -0.475839 	 -0.201930 	 2.978492 	 -5.059801 	 -2.188112 
80.811028 	 -0.877240 	 -0.489501 	 -0.207838 	 3.066081 	 -5.012721 	 -2.168133 
81.796524 	 -0.868962 	 -0.503035 	 -0.213692 	 3.152697 	 -4.964390 	 -2.147612 
82.782028 	 -0.860450 	 -0.516439 	 -0.219490 	 3.238320 	 -4.914823 	 -2.126556 
83.767525 	 -0.851706 	 -0.529709 	 -0.225232 	 3.322928 	 -4.864042 	 -2.104973 
84.753029 	 -0.842734 	 -0.542842 	 -0.230915 	 3.406502 	 -4.812064 	 -2.082872 
85.738525 	 -0.833537 	 -0.555834 	 -0.236539 	 3.489023 	 -4.758908 	 -2.060261 
86.724030 	 -0.824116 	 -0.568683 	 -0.242102 	 3.570472 	 -4.704595 	 -2.037148 
87.709526 	 -0.814476 	 -0.581386 	 -0.247602 	 3.650830 	 -4.649144 	 -2.013541 
88.695030 	 -0.804619 	 -0.593939 	 -0.253039 	 3.730079 	 -4.592574 	 -1.989449 
89.680527 	 -0.794548 	 -0.606339 	 -0.258410 	 3.808202 	 -4.534907 	 -1.964880 
90.666031 	 -0.784265 	 -0.618583 	 -0.263715 	 3.885182 	 -4.476162 	 -1.939844 
91.651520 	 -0.773775 	 -0.630668 	 -0.268953 	 3.961002 	 -4.416360 	 -1.914349 
92.637024 	 -0.763081 	 -0.642593 	 -0.274122 	 4.035645 	 -4.355522 	 -1.888404 
93.622520 	 -0.752184 	 -0.654353 	 -0.279220 	 4.109097 	 -4.293668 	 -1.862018 
94.608025 	 -0.741090 	 -0.665945 	 -0.284248 	 4.181341 	 -4.230820 	 -1.835200 
95.593521 	 -0.729800 	 -0.677369 	 -0.289203 	 4.252364 	 -4.166998 	 -1.807959 
96.579025 	 -0.718319 	 -0.688620 	 -0.294084 	 4.322150 	 -4.102226 	 -1.780305 
97.564522 	 -0.706649 	 -0.699696 	 -0.298891 	 4.390687 	 -4.036523 	 -1.752245 
98.550026 	 -0.694794 	 -0.710594 	 -0.303622 	 4.457960 	 -3.969912 	 -1.723791 
99.535522 	 -0.682758 	 -0.721313 	 -0.308277 	 4.523957 	 -3.902414 	 -1.694950 
100.521027 	 -0.670543 	 -0.731849 	 -0.312853 	 4.588666 	 -3.834051 	 -1.665733 
101.506523 	 -0.658154 	 -0.742201 	 -0.317350 	 4.652074 	 -3.764846 	 -1.636149 
102.492027 	 -0.645593 	 -0.752366 	 -0.321768 	 4.714170 	 -3.694820 	 -1.606208 
103.477524 	 -0.632865 	 -0.762342 	 -0.326105 	 4.774943 	 -3.623996 	 -1.575918 
104.463028 	 -0.619972 	 -0.772127 	 -0.330360 	 4.834383 	 -3.552395 	 -1.545290 
105.448524 	 -0.606920 	 -0.781719 	 -0.334532 	 4.892479 	 -3.480041 	 -1.514332 
106.434029 	 -0.593710 	 -0.791115 	 -0.338621 	 4.949222 	 -3.406955 	 -1.483056 
107.419525 	 -0.580347 	 -0.800314 	 -0.342625 	 5.004603 	 -3.333161 	 -1.451470 
108.405029 	 -0.566835 	 -0.809313 	 -0.346544 	 5.058612 	 -3.258680 	 -1.419583 
109.390533 	 -0.553176 	 -0.818112 	 -0.350377 	 5.111243 	 -3.183535 	 -1.387407 
110.376030 	 -0.539376 	 -0.826707 	 -0.354123 	 5.162487 	 -3.107749 	 -1.354949 
111.361534 	 -0.525437 	 -0.835098 	 -0.357781 	 5.212337 	 -3.031344 	 -1.322221 
112.347031 	 -0.511364 	 -0.843283 	 -0.361351 	 5.260785 	 -2.954342 	 -1.289231 
113.332535 	 -0.497160 	 -0.851259 	 -0.364832 	 5.307826 	 -2.876768 	 -1.255990 
114.318031 	 -0.482829 	 -0.859027 	 -0.368223 	 5.353454 	 -2.798642 	 -1.222507 
115.303535 	 -0.468374 	 -0.866583 	 -0.371524 	 5.397663 	 -2.719987 	 -1.188791 
116.289032 	 -0.453801 	 -0.873927 	 -0.374734 	 5.440448 	 -2.640827 	 -1.154854 
117.274536 	 -0.439111 	 -0.881057 	 -0.377852 	 5.481804 	 -2.561183 	 -1.120703 
118.260033 	 -0.424311 	 -0.887972 	 -0.380878 	 5.521728 	 -2.481078 	 -1.086349 
119.245537 	 -0.409402 	 -0.894671 	 -0.383811 	 5.560215 	 -2.400535 	 -1.051801 
120.231033 	 -0.394389 	 -0.901153 	 -0.386651 	 5.597262 	 -2.319575 	 -1.017070 
121.216537 	 -0.379277 	 -0.907416 	 -0.389397 	 5.632866 	 -2.238222 	 -0.982164 
122.202034 	 -0.364068 	 -0.913459 	 -0.392049 	 5.667025 	 -2.156497 	 -0.947094 
123.187538 	 -0.348767 	 -0.919281 	 -0.394606 	 5.699737 	 -2.074423 	 -0.911868 
124.173035 	 -0.333378 	 -0.924882 	 -0.397068 	 5.730999 	 -1.992021 	 -0.876497 
125.158539 	 -0.317904 	 -0.930261 	 -0.399434 	 5.760811 	 -1.909315 	 -0.840990 
126.144035 	 -0.302350 	 -0.935416 	 -0.401705 	 5.789172 	 -1.826325 	 -0.805356 
127.129539 	 -0.286719 	 -0.940347 	 -0.403880 	 5.816081 	 -1.743073 	 -0.769604 
128.115036 	 -0.271016 	 -0.945053 	 -0.405957 	 5.841538 	 -1.659583 	 -0.733745 
129.100540 	 -0.255244 	 -0.949534 	 -0.407939 	 5.865543 	 -1.575874 	 -0.697787 
130.086044 	 -0.239407 	 -0.953789 	 -0.409823 	 5.888098 	 -1.491969 	 -0.661740 
131.071533 	 -0.223509 	 -0.957817 	 -0.411609 	 5.909202 	 -1.407888 	 -0.625612 
132.057037 	 -0.207554 	 -0.961619 	 -0.413298 	 5.928858 	 -1.323655 	 -0.589414 
133.042542 	 -0.191546 	 -0.965192 	 -0.414890 	 5.947068 	 -1.239288 	 -0.553154 
134.028046 	 -0.175489 	 -0.968539 	 -0.416383 	 5.963833 	 -1.154811 	 -0.516841 
135.013535 	 -0.159386 	 -0.971657 	 -0.417779 	 5.979155 	 -1.070242 	 -0.480484 
135.999039 	 -0.143243 	 -0.974546 	 -0.419076 	 5.993039 	 -0.985604 	 -0.444093 
136.984543 	 -0.127062 	 -0.977207 	 -0.420275 	 6.005487 	 -0.900917 	 -0.407675 
137.970047 	 -0.110847 	 -0.979640 	 -0.421376 	 6.016502 	 -0.816202 	 -0.371241 
138.955536 	 -0.094602 	 -0.981844 	 -0.422378 	 6.026089 	 -0.731478 	 -0.334798 
139.941040 	 -0.078332 	 -0.983819 	 -0.423282 	 6.034251 	 -0.646765 	 -0.298356 
140.926544 	 -0.062039 	 -0.985565 	 -0.424088 	 6.040993 	 -0.562085 	 -0.261923 
141.912048 	 -0.045729 	 -0.987082 	 -0.424795 	 6.046320 	 -0.477457 	 -0.225507 
142.897537 	 -0.029404 	 -0.988372 	 -0.425404 	 6.050237 	 -0.392900 	 -0.189118 
143.883041 	 -0.013068 	 -0.989432 	 -0.425914 	 6.052750 	 -0.308433 	 -0.152763 
144.868546 	 0.003275 	 -0.990265 	 -0.426327 	 6.053864 	 -0.224077 	 -0.116451 
145.854050 	 0.019620 	 -0.990870 	 -0.426641 	 6.053586 	 -0.139851 	 -0.080190 
146.839539 	 0.035965 	 -0.991248 	 -0.426858 	 6.051921 	 -0.055773 	 -0.043988 
147.825043 	 0.052305 	 -0.991398 	 -0.426977 	 6.048877 	 0.028138 	 -0.007854 
148.810547 	 0.068637 	 -0.991322 	 -0.426998 	 6.044459 	 0.111864 	 0.028205 
149.796051 	 0.084957 	 -0.991020 	 -0.426922 	 6.038677 	 0.195385 	 0.064181 
150.781540 	 0.101261 	 -0.990493 	 -0.426748 	 6.031536 	 0.278683 	 0.100065 
151.767044 	 0.117546 	 -0.989740 	 -0.426478 	 6.023044 	 0.361742 	 0.135850 
152.752548 	 0.133809 	 -0.988764 	 -0.426111 	 6.013211 	 0.444542 	 0.171529 
153.738052 	 0.150044 	 -0.987563 	 -0.425648 	 6.002043 	 0.527066 	 0.207093 
154.723541 	 0.166250 	 -0.986140 	 -0.425089 	 5.989549 	 0.609297 	 0.242535 
155.709045 	 0.182422 	 -0.984495 	 -0.424434 	 5.975738 	 0.691218 	 0.277848 
156.694550 	 0.198556 	 -0.982629 	 -0.423684 	 5.960619 	 0.772811 	 0.313024 
157.680054 	 0.214650 	 -0.980542 	 -0.422839 	 5.944202 	 0.854060 	 0.348057 
